Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"The New Zealand Indigenous Forest Regeneration Project","4651","New Zealand Forestry Removals Limited","Verra","VCS-VM0012","Agriculture; forestry and fishing","New Zealand",Listed,,,0,0,0,0
"NATURAL FOREST REGENERATION FOR ENHANCED CARBON STOCKS IN THE ALBERTINE RIFT (FRECAR)","4889","World Wide Fund for Nature Denmark / Verdensnaturfonden","Verra","VM0047","Agriculture; forestry and fishing","Uganda",Listed,,,0,0,0,0
