Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Aprosacao Reforestation Project: community reforestation and agroforestry with small-scale cocoa farmers in Honduras.","GS5012","Unknown Project Developer","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Honduras",Registered,,,0,0,0,0
"Reforestation of Degraded Forest Reserve Land in Ghana","66","Mere Plantations Limited","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Ghana",Approved,,,0,361327,0,361327
"ArboRise Participative Reforestation in  Upper Guinea","GS12203","South Pole Carbon Asset Management Ltd.","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Guinea",Listed,,,0,0,0,0
"GHG Programme-Afforestation and Reforestation Group4","8A3O4ICCPDZJEZLNXSR7MCXMUV3AWH","Kanaka Management Services","CDM Registry","CDM - AR-AMS0007","NA","Mozambique",Validated,2020-02-26T00:00:00.000Z,2027-02-25T00:00:00.000Z,0,0,0,0
"ARAKU VALLEY REFORESTATION PROJECT","3248","CropZone Agro Forestry Private Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Reforestation of degraded land by MTPL in India","2404","Mangalam Timber Products Limited","Verra","AR-ACM0001","Agriculture; forestry and fishing","India",Registered,,,0,2015518,832146,1183372
"Restoration of Degraded Lands through Reforestation in Aberdare Forest Complex & National Park area, Kenya","0LCD8U09HEN46XXT0YIX3XP5SYME0N","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Kenya",Registered,2011-10-04T00:00:00.000Z,2041-10-03T00:00:00.000Z,0,0,0,0
"Small-scale Reforestation for Landscape Restoration.","988OVLUNUVKP42F67MCACDP3LCIGC6","Mitsubishi UFJ Securities","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","China",Validated,2006-10-15T00:00:00.000Z,2036-10-14T12:00:00.000Z,0,0,0,0
"Panama Tropical Reforestation","GS11899","Panama Reforestation Services, S.A.","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Panama",Listed,,,0,0,0,0
"San Nicolas CDM Reforestation Project","D9FNHZ8HUQ6DLI2J0GXX3XHBZC1PCY","Mas Bosques, WB-CF","CDM Registry","CDM - AR-AM0009","Afforestation and reforestation","Colombia",Registered,2008-06-18T00:00:00.000Z,2028-06-17T00:00:00.000Z,0,0,0,0
"Reforestation of degraded grasslands in Uchindile & Mapanda, Tanzania","142","Green Resources Tanzania Ltd (GRL)","Verra","AR-AM0005","Agriculture; forestry and fishing",--,Registered,,,0,1035289,547103,488186
"Nature Conservation Reforestation project - Caatinga Biome, Ceara","GS11648","CO2logic","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Brazil",Registered,,,0,0,0,0
"East African Afforestation, Reforestation and Revegetation Program","1443","Horn of Africa Regional Environment Center and Network","Verra","AR-ACM0003","Agriculture; forestry and fishing","Ethiopia",Listed,,,0,0,0,0
"Uganda Native Reforestation and Agroforestry Project","4882","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Uganda",Listed,,,0,0,0,0
"Jubilación Segura : Agroforestry And Reforestation With Smallscale Farmers in Peru","1496","Pur Projet","Verra","AR-AMS0007","Agriculture; forestry and fishing","Peru",Listed,,,0,157662,157662,0
"Vale Florestar. Reforestation of degraded tropical land in Brazilian Amazon","FZ5GZY6K7SKEAIC5K67IX4AU1S4X2H","Vale","CDM Registry","CDM - AR-ACM0001","Afforestation and reforestation","Brazil",Registered,2007-03-06T00:00:00.000Z,2024-03-05T00:00:00.000Z,0,0,0,0
"Small-scale Reforestation for Landscape Restoration","XRBP7BQVJEKWNGD0RB8ISRVZVO6MCM","Chinese Academy of Forestry, Winrock","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","China",Withdrawn,2007-06-01T00:00:00.000Z,2037-05-31T12:00:00.000Z,0,0,0,0
"Reforestation of grazing Lands in Santo Domingo, Argentina","JBQRATSO9YD14WIEW0AUGUDA65K16M","First Climate","CDM Registry","CDM - AR-AM0005","Afforestation and reforestation","Argentina",Registered,2007-05-02T00:00:00.000Z,2027-05-01T00:00:00.000Z,451856,451856,442819,9037
"Niassa Reforestation Project","HSPL79C8DBYFS5VBH8M68Z864IKJ4E","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Mozambique",Registered,2007-01-15T00:00:00.000Z,2027-01-14T00:00:00.000Z,0,0,0,0
"Carbon sequestration through reforestation on rural properties","Y9UCDVYW5A8EEFAGR9SKAGJAR7C46G","n.a.","CDM Registry","CDM - AR-ACM0003","NA","Brazil",Validated,2020-11-27T00:00:00.000Z,2027-11-26T00:00:00.000Z,0,0,0,0
"Reforestation for multiple purposes as a means of sustainable","0RBIS87674AWADY73OVT2RP6A1E98H","n.a.","CDM Registry","CDM - AR-ACM0003","NA","Brazil",Validated,2019-03-01T00:00:00.000Z,2026-02-28T00:00:00.000Z,0,0,0,0
"Reforestation, sustainable production and carbon sequestration project in José Ignacio Távara´s dry forest, Piura, Peru","T68OFUF9QR5G6N39E07UO2FNYYKZTV","AIDER","CDM Registry","CDM - AR-AM0003","Afforestation and reforestation","Peru",Registered,2009-11-02T00:00:00.000Z,2029-11-01T00:00:00.000Z,0,0,0,0
"Southern Nicaragua CDM Reforestation Project","MW7N5SY91H74WVZFREX1J2Y21JFXSQ","WB-CF, Precious Woods Holding","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Nicaragua",Registered,2003-07-04T00:00:00.000Z,2033-07-03T00:00:00.000Z,233309,233309,25000,208309
"Reforestation of severely degraded landmass in Khammam District of Andhra Pradesh, India under ITC Social Forestry Project","IRNSR8NSZMDTUK8PB7ICGE5KNE7CJZ","PricewaterhouseCoopers","CDM Registry","CDM - AR-AM0001","Afforestation and reforestation","India",Registered,2001-07-02T00:00:00.000Z,2031-07-01T00:00:00.000Z,809794,404897,0,404897
"Reforestation with Teak  CO2e TEAKMEX","1740","Agropecuaria Santa Genoveva S.A.P.I. de C.V.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Mexico",Registered,,,0,524976,434481,90495
"Reforestation carbon project in the pinatubo mountain region","5151","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Philippines",Listed,,,0,0,0,0
"Uganda Nile Basin Reforestation Project No.5","S8MNAC1Z03ABYWZX3MRL7JNV0SLK7A","WB-CF, UNIQUE forestry consultants","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Uganda",Registered,2006-04-01T00:00:00.000Z,2026-03-31T00:00:00.000Z,55385,55385,6056,49329
"Reforestation Project in Meghalaya by Shillong Bamboo","2959","Shillong Bamboo","Verra","AR-ACM0003","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"India: Himachal Pradesh Reforestation Project  Improving Livelihoods and Watersheds","ZUOWR7RIVG6BECVHP1E229QEN3GMQK","WB-CF","CDM Registry","CDM - AR-ACM0001","Afforestation and reforestation","India",Registered,2006-07-01T00:00:00.000Z,2026-06-30T00:00:00.000Z,228334,228334,13874,214460
"Reforestation and Restoration of degraded mangrove lands, sustainable livelihood and community development in Myanmar","1764","Worldview International Foundation","Verra","AR-AM0014","Agriculture; forestry and fishing","Myanmar",Registered,,,0,293970,176161,117809
"Land Life Reforestation and Restoration of Degraded Land in Australia - A","4822","Land Life Company BV","Verra","AR-ACM0003","Agriculture; forestry and fishing","Australia",Listed,,,0,0,0,0
"Reforestation Grouped Project at Pratigi Environmental Protection Area","1317","Not specified","Verra","AR-AMS0007","Agriculture; forestry and fishing","Brazil",Listed,,,0,2024,1727,297
"BaumInvest Flor Morado Reforestation Project Veraneo","GS12186","BaumInvest AG","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Colombia",Registered,,,0,0,0,0
"Multiple-purposes Reforestation on Degraded Lands in Longyang, Yunnan, P.R. China","AIFMDOVYZFYQFZ1UZXRGE241NBGETF","Chinese Academy of Forestry","CDM Registry","CDM - AR-ACM0001","Afforestation and reforestation","China",Withdrawn,2008-04-01T00:00:00.000Z,2038-04-01T12:00:00.000Z,0,0,0,0
"Reforestation of pastures in Sociedad Agrícola de Interés Social “José Carlos Mariátegui” - Joven Forestal Project, Perú","687","SAIS José Carlos Mariategui","Verra","AR-ACM0001","Agriculture; forestry and fishing","Peru",Registered,,,0,0,0,0
"Reforestation of Degraded Forest Reserves in Ghana","987","Form Ghana Ltd","Verra","AR-AM0003","Agriculture; forestry and fishing","Ghana",Listed,,,0,2222319,741811,1480508
"OYU - Reforesting Uganda for a better tomorrow","4888","OYU Green Private Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","Uganda",Listed,,,0,0,0,0
"Grand Katanga Reforestation Project","5137","Not specified","Verra","VM0047","Agriculture; forestry and fishing",--,Listed,,,0,0,0,0
"Aberdare Range / Mt. Kenya Small Scale Reforestation Initiative - Gathiuru-Kiamathege Small Scale A/R Project","BW30NWASWS5DEAO3T9Y1OG9VULRU9F","Joanneum Research, UNIQUE forestry consultants, Green belt movement","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Kenya",Withdrawn,2007-10-01T00:00:00.000Z,2027-10-01T00:00:00.000Z,0,0,0,0
"Reforestation with Rubber on degraded lands of Colombia","1233","NACOBENA SAS","Verra","AR-ACM0003","Agriculture; forestry and fishing","Colombia",Registered,,,0,211765,207735,4030
"CARBON SEQUESTRATION THROUGH REFORESTATION IN THE BOLIVIAN TROPICS BY SMALLHOLDERS OF The Federación de Comunidades Agropecuarias de Rurrenabaque (FECAR)","XN4VJD06M0WEKQA00JY5IVABVAYM9R","CETEFOR","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Bolivia",Registered,2008-02-12T00:00:00.000Z,2029-02-11T00:00:00.000Z,0,0,0,0
"REFORESTATION OF DEGRADED FOREST RESERVE AREAS IN GHANA, WEST AFRICA","2410","Miro Forestry Developments Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","Ghana",Listed,,,0,904246,330343,573903
"Tombwe Smallholder Reforestation Project","2619","Tombwe Processing Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","Zambia",Listed,,,0,0,0,0
"Rehabilitation of Degraded Wastelands at Deramandi in Southern District of National Capital Territory of Delhi through Reforestation","8I3SU7WUHIQAUZTKU01EU5BWLD01L4","GTZ","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","India",Registered,2008-07-01T00:00:00.000Z,2038-06-30T00:00:00.000Z,0,0,0,0
"Unitán afforestation and reforestation of grazing lands project","2610","UNITAN SAICA","Verra","AR-ACM0003","Agriculture; forestry and fishing","Argentina",Registered,,,0,2100,1500,600
"GHG Programme-Afforestation and Reforestation Group1","XU11XVTMI055VK9BM2LFL9ER7FRN5H","NA","CDM Registry","CDM - AR-AM0014","NA","Mozambique",Validated,2020-02-19T00:00:00.000Z,2027-02-18T00:00:00.000Z,0,0,0,0
"Hongera Reforestation Project (Mt Kenya and Aberdares)","3321","Not specified","Verra","ACM0003","Agriculture; forestry and fishing","Kenya",Listed,,,0,0,0,0
"Reforestation Project in Costa Rica 01","GS11708","BaumInvest AG","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Costa Rica",Registered,,,0,0,0,0
"XiCO2e: Mexican Reforestation Project","3342","FORLIANCE GmbH","Verra","AR-ACM0003","Agriculture; forestry and fishing","Mexico",Listed,,,0,0,0,0
"Reforestation, sustainable development and carbon sequestration project in Kenyan degraded lands","0YQ1T5IIS62P0HCXDXAB1WN33KSH3K","n.a.","CDM Registry","CDM - AR-ACM0001","Afforestation and reforestation","Kenya",Withdrawn,2009-12-02T00:00:00.000Z,2029-12-02T00:00:00.000Z,0,0,0,0
"Agroforestry and reforestation with small-scale farmers in Uganda","2471","The PURE PROJECT SAS","Verra","AR-AMS0007","Agriculture; forestry and fishing","Uganda",Registered,,,0,0,0,0
"Reforestation of land for multiple uses","3877","Lacan Investimentos e Participações Ltda","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"GHG Programme-Afforestation and Reforestation Group3","BMTCSE54Q4RUBUL01XDK7YPLB6FXAS","Kanaka Management Services","CDM Registry","CDM - AR-AMS0003","NA","Mozambique",Validated,2019-12-26T00:00:00.000Z,2026-12-25T00:00:00.000Z,0,0,0,0
"Reforesting Reclaimed Appalachian Mine Lands","5288","Living Carbon PBC","Verra","VM0047","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"Reforestation Project in Qinghai Province 2012","1361","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","China",Registered,,,0,28883,95,28788
"Aberdare Range/ Mt. Kenya Small Scale Reforestation Initiative Kamae-Kipipiri Small Scale A/R Project","ZSPB3HG9LVE02S9T76I1ALEUK0DYGD","Joanneum Research, UNIQUE forestry consultants, Green belt movement","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Kenya",Registered,2007-10-01T00:00:00.000Z,2027-09-30T00:00:00.000Z,0,0,0,0
"Uganda Nile Basin Reforestation Project No 2","D4FS72P87X2KIPBMDEIZUTNPYOCWG1","WB-CF, UNIQUE forestry consultants","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Uganda",Registered,2008-04-01T00:00:00.000Z,2028-03-31T00:00:00.000Z,8877,8877,970,7907
"MANGROVE REFORESTATION IN DANZHOU, HAINAN PROVINCE","4194","Hainan University","Verra","VCS-VM0033","Agriculture; forestry and fishing","China",Listed,,,0,0,0,0
"Community-based reforestation project on degraded lands in Uttar Pradesh, India by Indian Farm Forestry Development Co-operative Limited","1015","Indian Farm Forestry Development Co-operative Limited","Verra","AR-AMS0005","Agriculture; forestry and fishing","India",Registered,,,0,83688,9526,74162
"Namwasa Central Forest Reserve Reforestation Initiative","1OB7JARSHK055XMN54ITN69SBK1ZH1","National Forest Authority Uganda","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Uganda",Registered,2005-08-22T00:00:00.000Z,2025-08-21T00:00:00.000Z,0,0,0,0
"Ganaderia y Bosques (GANBOS): Combining reforestation and rotational cattle grazing practices to restore degraded pastures in the provinces of Guanacaste, San Jose and Puntarenas in Costa Rica","5061","rePLANET","Verra","VM0047","Agriculture; forestry and fishing","Costa Rica",Listed,,,0,0,0,0
"Aberdare Range/ Mt. Kenya Small Scale Reforestation Initiative Kibaranyeki Small Scale A/R Project","MTK9T50DHU6T3ITRUGOGHBCLNLTVX0","Joanneum Research, UNIQUE forestry consultants, Green belt movement","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Kenya",Registered,2010-04-01T00:00:00.000Z,2030-03-31T00:00:00.000Z,0,0,0,0
"Reforestation of Lands for Multiple Purposes as a Sustainable Development Driver","4720","Klabin SA","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"The Paraguayan Chaco Neem Reforestation Project","2744","El Retiro S.A.","Verra","AR-AMS0007","Agriculture; forestry and fishing","Paraguay",Listed,,,0,0,0,0
"North Bandai Bamboo Reforestation Project","2928","EcoPlanet Bamboo Group","Verra","AR-ACM0003","Agriculture; forestry and fishing","Ghana",Listed,,,0,0,0,0
"San Pablo del Lago reforestation project","GS7607","South Pole Carbon Asset Management Ltd.","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Ecuador",Registered,,,0,0,0,0
"GHG Programme-Afforestation and Reforestation Group2 - Withdrawn","SWCO3ZKAPXDTASX7DSK26E5S46Q2I6","Kanaka Management Services","CDM Registry","CDM - AR-AMS0007","NA","Mozambique",Withdrawn,2019-12-20T00:00:00.000Z,2026-12-19T00:00:00.000Z,0,0,0,0
"GHG Programme-Afforestation and Reforestation Group3 - Withdrawn","YDQ8WBXVE2OPYCPF9ONDP84KR76MOI","NA","CDM Registry","CDM - AR-ACM0003","NA","Mozambique",Withdrawn,2019-12-20T00:00:00.000Z,2026-12-19T00:00:00.000Z,0,0,0,0
"Reforestation Sierra Piura","GS3381","Claudia Vasquez","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Peru",Registered,,,0,0,0,0
"Vichada Climate Reforestation Project (PAZ)","GS4221","Forest Finest Colombia","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Colombia",Registered,,,0,0,0,0
"Mount Kei Reforestation Project","5090","Equatoria Forestry Company","Verra","VM0047","Agriculture; forestry and fishing","Uganda",Listed,,,0,0,0,0
"Commercial reforestation on lands dedicated to extensive cattle grazing activities in the region of Magdalena Bajo Seco","BYA6Z6FK077YCPTPRSO9N8U240YORN","n.a.","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Colombia",De-registered,2000-08-02T00:00:00.000Z,2030-08-01T00:00:00.000Z,2199533,2199533,735330,1464203
"OYU - Reforesting Kenya for a better tomorrow","4898","OYU Green Private Limited","Verra","AR-ACM0003","Agriculture; forestry and fishing","Kenya",Listed,,,0,0,0,0
"Reforestation of croplands and grasslands in low income communities of Paraguarí Department, Paraguay","152JLRFRWXOTXT9YJ2BZ9TNX6H3C57","Mitsubishi UFJ Securities, Japan Green Resources Agency","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Paraguay",Registered,2007-07-25T00:00:00.000Z,2027-07-24T00:00:00.000Z,6819,6819,0,6819
"Reforestation with Native Species in the Pachijal and Mira River Watersheds for Carbon Retention","1080","Not specified","Verra","AR-AMS0007","Agriculture; forestry and fishing","Ecuador",Listed,,,0,0,0,0
"Aberdare Range / Mt. Kenya Small Scale Reforestation Initiative Kirimara-Kithithina Small Scale A/R Project","P304X22CZY9Y99NTCW97VXFTC23OSE","Joanneum Research, UNIQUE forestry consultants, Green belt movement","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Kenya",Registered,2008-04-01T00:00:00.000Z,2028-03-31T00:00:00.000Z,0,0,0,0
"BaumInvest Reforestation Project","GS2913","BaumInvest AG","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Costa Rica",Registered,,,0,0,0,0
"Reforestation through biodiverse Agroforestry Systems in the Amazon (Roraima State)","5197","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"GHG Programme-Afforestation and Reforestation Group4 - Withdrawn","OKI1F8ASTZY0BQ9K2DP717L6AR8Y6D","NA","CDM Registry","CDM - AR-AMS0003","NA","Mozambique",Withdrawn,2019-12-24T00:00:00.000Z,2026-12-23T00:00:00.000Z,0,0,0,0
"Reforestation for multiple purposes as a means of sustainable development","3822","Klabin SA","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Smallholder Reforestation in Malawi","4891","Not specified","Verra","VM0047","Agriculture; forestry and fishing","Malawi",Listed,,,0,0,0,0
"Reforestation Project in community councils of afro descendant lands in northern Atrato River in Chocó department in Colombia","78OEZTQ9HM9D20ZN01QV71MTP8JIIS","EnerCap Capital partners","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","Colombia",Withdrawn,2007-11-01T00:00:00.000Z,2037-10-31T12:00:00.000Z,0,0,0,0
"Reforestation of degraded land in Chhattisgarh, India","ANCF0RWNTDBNBTQGDYALKT3LMZBFPW","Vanshi Farms","CDM Registry","CDM - AR-AM0001","Afforestation and reforestation","India",Withdrawn,2002-06-15T00:00:00.000Z,2022-06-15T00:00:00.000Z,0,0,0,0
"Reforestation of pasture lands on the Peruvian Northern Andes – “Forestry PRODICOM” Grouped Project","1397","Not specified","Verra","AR-AMS0007","Agriculture; forestry and fishing","Peru",Registered,,,0,0,0,0
"Restoration of Degraded Lands through Reforestation in MAU Forest Complex, Kenya","DMCO1TBUCORJZSM7R0MZ5P4RXGWN5T","n.a.","CDM Registry","CDM - AR-ACM0003","Afforestation and reforestation","Kenya",Registered,2011-10-04T00:00:00.000Z,2041-10-03T00:00:00.000Z,0,0,0,0
"Land Life Reforestation and Restoration of Degraded Land in Colorado","4820","Land Life Company BV","Verra","AR-ACM0003","Agriculture; forestry and fishing","United States of America",Listed,,,0,0,0,0
"PoA for reforestation of land for multiple uses","BMV0NHUB9J54TR5K92XDWNIJCHXHI5","n.a.","CDM Registry","CDM - AR-ACM0003","NA","Brazil",Validated,2019-12-05T00:00:00.000Z,2026-12-04T00:00:00.000Z,0,0,0,0
"Reforestation on degraded, fragile soils and soils in danger of desertification in Coyhaique commune","YET4QYCSFQXVLMXY7UY19EW4JO8X74","Forestry Research Institute Chile","CDM Registry","CDM - AR-ACM0001","Afforestation and reforestation","Chile",Withdrawn,2008-08-01T00:00:00.000Z,2038-08-01T12:00:00.000Z,0,0,0,0
"Bagepalli CDM Reforestation Programme","A85TC6Z9VFEM220O5DV0BH0D4FR23N","Climate Change Capital","CDM Registry","CDM - AR-AM0001","Afforestation and reforestation","India",Validated,2008-01-01T00:00:00.000Z,2028-01-01T00:00:00.000Z,0,0,0,0
"EcoPlanet Bamboo Central America - Reforestation Project","1085","EcoPlanet Bamboo Group","Verra","AR-ACM0001","Agriculture; forestry and fishing","Nicaragua",Registered,,,0,280155,251792,28363
"Reforestation of degraded land by MTPL in India","QT1C6ZQJ4RJK28UFAI503NEOA8A2UY","Birla","CDM Registry","CDM - AR-ACM0001","Afforestation and reforestation","India",Registered,2001-06-25T00:00:00.000Z,2031-06-24T00:00:00.000Z,1764076,1764076,1728794,35282
"Land Life Reforestation and Restoration on Degraded Land in Australia","4463","Land Life Company BV","Verra","AR-ACM0003","Agriculture; forestry and fishing","Australia",Listed,,,0,0,0,0
"Reforestation as Renewable Source of Wood Supplies for Industrial Use in Brazil","DWXTGTQLAORUROS9KPVZJUSGI8UK70","WB-CF","CDM Registry","CDM - AR-AM0005","Afforestation and reforestation","Brazil",Registered,2000-11-10T00:00:00.000Z,2030-11-09T00:00:00.000Z,5696351,5696351,1776251,3920100
"Reforestation on Degraded Lands in Northwest Guangxi","YEKJK8B2JTYOB4MYRIPZ6LL9V40C18","WB-CF","CDM Registry","CDM - AR-ACM0001","Afforestation and reforestation","China",Registered,2008-01-01T00:00:00.000Z,2027-12-31T00:00:00.000Z,464408,464408,20594,443814
"Reforestation of degraded lands in the Valle California of Patagonia, Chile","886","Agrícola y Forestal SNP Ltda","Verra","AR-ACM0001","Agriculture; forestry and fishing","Chile",Registered,,,0,0,0,0
"Lake Naivasha Basin Reforestation Project","GS6504","Swiss Carbon Value Ltd.","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Kenya",Registered,,,0,0,0,0
"Mombak Reforesting Brazil at Scale - Project 1","5389","Samauma Florestal SA","Verra","VM0047","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Greenzone Reforestation Project","4176","Not specified","Verra","AR-ACM0003","Agriculture; forestry and fishing","Cameroon",Listed,,,0,0,0,0
"Bagepalli CDM Reforestation Programme","EHSY4L5VTQT20H3DTS706XS7Y4HKGE","n.a.","CDM Registry","CDM - AR-AM0004","Afforestation and reforestation","India",Registered,2008-01-25T00:00:00.000Z,2028-01-24T00:00:00.000Z,0,0,0,0
"Bandai Hills Bamboo Reforestation Project, Ghana","2929","EcoPlanet Bamboo Group","Verra","AR-ACM0003","Agriculture; forestry and fishing","Ghana",Listed,,,0,0,0,0
"Shade Coffee & Cacao Reforestation Project","1153","Société de gestion de projets ECOTIERRA Inc.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Peru",Registered,,,0,0,0,0
