Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Conservation and reforestation of degraded areas in Barbosa, Colombia","GS3025","Deactivated Projects","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Colombia",Registered,,,0,0,0,0
"Uganda Nile Basin Reforestation Project No 4","A7GM01SAIP8LCBINBODJ5K7X8XV5W2","WB-CF, UNIQUE forestry consultants","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Uganda",Registered,2008-04-01T00:00:00.000Z,2028-03-31T00:00:00.000Z,3276,3276,358,2918
"GHG Programme-Afforestation and Reforestation Group1 - Withdrawn","EZOCHZZF0I2SUU8DI099OWBGE4CSPR","Kanaka Management Services","CDM Registry","CDM - AR-AM0014","NA","Mozambique",Withdrawn,2019-11-30T00:00:00.000Z,2026-11-29T00:00:00.000Z,0,0,0,0
"Community-based Reforestation on Degraded Lands in East Lombok","VTSBU6NLI63QVVLY3RJZQH2IZ3GZOJ","Korea International Cooperation Agency","CDM Registry","CDM - AR-AMS0004","Afforestation and reforestation","Indonesia",Withdrawn,2010-12-01T00:00:00.000Z,2030-12-01T00:00:00.000Z,0,0,0,0
"Uganda Nile Basin Reforestation Project No.3","FQGS8PBL08KI02MK9PEC5TY2K3G1MS","WB-CF, Joanneum Research","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Uganda",Registered,2007-04-01T00:00:00.000Z,2027-03-31T00:00:00.000Z,17386,17386,1901,15485
"Reforestation of degraded land in Chhattisgarh, India","689","Prakash Industries Limited","Verra","AR-ACM0002","Agriculture; forestry and fishing","India",Registered,,,0,58122,38958,19164
"Panna Afforestation and Reforestation Project","4811","Climate Impact Partners Limited","Verra","VM0047","Agriculture; forestry and fishing","India",Listed,,,0,0,0,0
"Aberdare Range / Mt. Kenya Small Scale Reforestation Initiative - Kabaru-Thigu-Mugunda Small Scale A/R Project","KCYENSZAUVOA0833HAKWMPY09VM2S8","Joanneum Research, UNIQUE forestry consultants, Green belt movement","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Kenya",Withdrawn,2007-10-01T00:00:00.000Z,2027-10-01T00:00:00.000Z,0,0,0,0
"Reforesting Degraded Lands in Chile through the use of Mycorrhizal Inoculation","1055","Mikro-Tek Inc.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Chile",Registered,,,0,1418794,1201384,217410
"Reforestation activities in Brazil for carbon removals from the atmosphere","4729","SADA PARTICIPAÇÕES LTDA","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"Reforestation of pastures in Campo Verde with native species, Pucallpa, Peru","658","Bosques Amazónicos","Verra","AR-AM0003","Agriculture; forestry and fishing","Peru",Registered,,,0,42625,42625,0
"Commercial reforestation on lands dedicated to extensive cattle grazing activities in the region of Magdalena Bajo Seco","BCR-CO-656-14-001","ONF INTERNATIONAL","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",Registered,,,0,540771,5540,535231
"EcoMakala Virunga Reforestation project","GS5618","CO2logic","Gold Standard","GS - AFFORESTATION/REFORESTATION GHG EMISSIONS REDUCTION & SEQUESTRATION METHODOLOGY","Afforestation","Democratic Republic of Congo",Registered,,,0,0,0,0
"Uganda Nile Basin Reforestation Project No 1","8ORR5UWVWRQND30WV8VVWBTPPPNEPQ","WB-CF, UNIQUE forestry consultants","CDM Registry","CDM - AR-AMS0001","Afforestation and reforestation","Uganda",Registered,2009-04-01T00:00:00.000Z,2029-03-31T00:00:00.000Z,1221,1221,134,1087
"Reforestation Project at Shree Nasik Panchavati Panjrapole (SNPP), Nasik, India","4BKDL3MXQJGEHOFG4IYYCEWBQ4OKP0","SEE Tech Solutions","CDM Registry","CDM - AR-AM0001","Afforestation and reforestation","India",Withdrawn,2007-01-01T00:00:00.000Z,2036-12-31T12:00:00.000Z,0,0,0,0
